ds,yhat,yhat_lower,yhat_upper
2024-02-07,12111.162492559251,-18492.344774194047,38527.869602639104
2024-02-08,9782.198401091468,-19947.990928710115,40642.648086124704
2024-02-09,7379.661241368818,-21286.13778369329,36137.825050060455
2024-02-10,6676.513279596576,-22457.153230392418,35517.79639162026
2024-02-11,4105.814927343119,-22024.300952385573,31748.415502202504
2024-02-12,3752.8481257271246,-24827.978692825855,31860.090441758388
2024-02-13,3539.2650891702474,-24714.30568309053,31053.858083529816
2024-02-14,3624.2424167454164,-24958.00401077256,31649.777897045336
2024-02-15,1900.3898739767683,-26315.096886357966,30146.57333546085
2024-02-16,390.5431795853947,-28456.13114266734,28340.896329059233
2024-02-17,859.3904135956491,-27696.240058946398,27890.430897958824
2024-02-18,-275.46155447701494,-28039.492298272045,28644.09635805952
2024-02-19,1048.866406958493,-26314.86875547515,32813.49888383247
2024-02-20,2725.0812473133806,-25135.58148164057,32752.810973931497
2024-02-21,4877.446934380383,-23849.26044150688,32783.54122461801
2024-02-22,5358.423796778289,-24805.60031905199,33818.647021877325
2024-02-23,6146.330488756761,-21333.806692579852,35153.598648527
2024-02-24,8957.95770710053,-19596.751520036003,38347.93157637238
2024-02-25,10160.716454526104,-16796.877629503513,39345.41810158505
2024-02-26,13766.14174586431,-14691.344908282546,42679.8824784893
2024-02-27,17615.638807528445,-11972.623762419582,46967.412168971896
2024-02-28,21783.414195406003,-5315.2057217827005,52917.88799076305
2024-02-29,24074.29878611133,-4570.430511440396,53956.04966628793
2024-03-01,26422.545928273623,-1813.461512906029,53659.81622884807
2024-03-02,30522.926057765617,-783.6879243988177,58726.84475311598
2024-03-03,32691.572915766625,3173.3378442015214,60340.63418047457
2024-03-04,36912.581194053724,7241.736073496033,67870.41849643069
2024-03-05,41007.019205038574,11166.229941403386,68681.10397084855
2024-03-06,45036.38326391348,16368.798088620344,73900.5787177636
2024-03-07,46800.76740456544,18131.516110947327,76962.56486111681
